1813	TCSD DISPATCH
1801	TCSD CAR
1805	TCSD PATROL
1809	TCSD SWAT
1827	TCFD DISPATCH
1901	LFD DISPATCH
2021	WLFD DISPATCH
2105	PUFD DISPATCH
1931	LPD DISPATCH
2019	WLPD DISPATCH
2119	PUPD DISPATCH
1833	TEAS EMS DISPATCH
2225	TEAS OPS
2519	TC HWY MAIN
2407	TSC BASE
2655	LSC BASE 1
